"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
252-2-000001,김윤기 가옥 근처 주차장1,공영,노외,,강원도 강릉시 노암동 302-7,15,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7472512,128.9002964,2021-03-12
252-2-000002,김윤기 가옥 근처 주차장2,공영,노외,,강원도 강릉시 노암동 302-4,19,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74710952,128.9032615,2021-03-12
252-2-000003,김윤기 가옥 근처 주차장3,공영,노외,,"강원도 강릉시 노암동 402-37, 402-36",26,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74700365,128.903402,2021-03-12
252-2-000004,노암동 시영주택주차장,공영,노외,,강원도 강릉시 노암동 324-67,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74995204,128.9003789,2021-03-12
252-2-000005,시영주택입구 주차장,공영,노외,,강원도 강릉시 노암동 279-18,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7500382,128.8999939,2021-03-12
252-2-000006,은마 연립주택 근처 주차장,공영,노외,,강원도 강릉시 노암동 699-9,3,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74677963,128.8977437,2021-03-12
252-2-000007,정동진역 공영주차장,공영,노외,,강원도 강릉시 강동면 정동진리 259-1,150,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.6893453197,129.0349564908,2021-03-12
252-2-000008,바다부채길 주차장,공영,노외,,강원도 강릉시 강동면 심곡리 69-5,90,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.663799,129.045679,2021-03-12
252-2-000009,7번국도 저탄장 주차장,공영,노외,,강원도 강릉시 강동면 정동진리 440-29,598,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.69621431,129.0257381,2021-03-12
252-2-000010,심곡 바다부채길 주차장,공영,노외,,강원도 강릉시 강동면 정동진리 50-33,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.68120738,129.0417394,2021-03-12
